row,Year,Product_type,Brand,Title,Ticker,Mkt_Date,Mkt_Date_plus6,close,close_plus6,market_cap_cur,shares_out,year_inc,spx_close,spx_plus6,rtn_vs_spx,rtn,spx
68,1999,Film,Ed TVLife,,CMCSA,2/1/1999,8/2/1999,$21.38 ,$11.63 ,"$169,754,635,440 ","4,168,827,000",2001,537.92,669.31,-0.700384651,-0.456140351,0.2442443
69,1999,Film,8MM,,SNE,2/1/1999,8/2/1999,$36.69 ,$62.50 ,"$115,531,900,000 ","1,261,082,000",1946,537.92,669.31,0.459333213,0.703577513,0.2442443
70,1999,Film,The Matrix,,TWX,2/1/1999,8/2/1999,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,537.92,669.31,#VALUE!,#VALUE!,0.2442443
71,1999,Film,Mulan,Groundhog Day,DIS,2/1/1999,8/2/1999,$33.22 ,$26.81 ,"$183,393,154,730 ","1,826,807,000",2018,537.92,669.31,-0.437193956,-0.192949656,0.2442443
72,1999,Film,The Mummy,,CMCSA,2/1/1999,8/2/1999,$21.38 ,$11.63 ,"$169,754,635,440 ","4,168,827,000",2001,537.92,669.31,-0.700384651,-0.456140351,0.2442443
73,1999,Film,October Sky,,CMCSA,2/1/1999,8/2/1999,$21.38 ,$11.63 ,"$169,754,635,440 ","4,168,827,000",2001,537.92,669.31,-0.700384651,-0.456140351,0.2442443
74,1999,Film,True Crime,,TWX,2/1/1999,8/2/1999,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,537.92,669.31,#VALUE!,#VALUE!,0.2442443
75,1999,Film,Wild Wild West,,TWX,2/1/1999,8/2/1999,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,537.92,669.31,#VALUE!,#VALUE!,0.2442443
90,2000,Film,Gladiator,,N/A,1/31/2000,7/31/2000,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,429.15,358.62,#VALUE!,#VALUE!,-0.164366405
91,2000,Film,Mission to Mars,,DIS,1/31/2000,7/31/2000,$35.80 ,$38.02 ,"$183,393,154,730 ","1,826,807,000",2018,429.15,358.62,0.226326654,0.06196025,-0.164366405
92,2000,Film,Titan A.E.,,FOX,1/31/2000,7/31/2000,#VALUE!,#VALUE!,"$17,242,850,000 ","537,136,200",2018,429.15,358.62,#VALUE!,#VALUE!,-0.164366405
120,2001,Film,A Knight's Tale,,SNE,1/29/2001,7/30/2001,$73.50 ,$46.40 ,"$115,531,900,000 ","1,261,082,000",1946,414.62,451.77,-0.458317715,-0.368707483,0.089610232
